level_id,hmm3_state_pine,hmm3_prob_pine
2045_upper,MID_VOL,0.9250036164359027
2052_upper,MID_VOL,0.969891914994154
2053_lower,HIGH_VOL,0.9999999999999429
2054_upper,LOW_VOL,0.6744513740837258
2056_upper,LOW_VOL,0.7407637237358261
2057_upper,MID_VOL,0.9250036164359027
2058_upper,HIGH_VOL,0.9830913992856573
2058_lower,HIGH_VOL,0.9999999999999429
2059_upper,LOW_VOL,0.583855076883138
2059_lower,HIGH_VOL,0.5821693507657094
2060_upper,HIGH_VOL,0.9830913992856573
2060_lower,MID_VOL,0.9770202189601269
2061_upper,MID_VOL,0.6176089602771283
2061_lower,MID_VOL,0.698825389050434
2062_upper,HIGH_VOL,0.999999609038944
2062_lower,HIGH_VOL,1.0
2063_upper,LOW_VOL,0.6466834335963676
2063_lower,LOW_VOL,0.6833042767487473
2064_upper,LOW_VOL,0.6466834335963676
2064_lower,MID_VOL,0.698825389050434
2065_upper,MID_VOL,0.8305066305879023
2065_lower,HIGH_VOL,1.0
2066_upper,LOW_VOL,0.7333447461644603
2066_lower,HIGH_VOL,1.0
2067_upper,MID_VOL,0.9645256401025554
2067_lower,MID_VOL,0.5877107191059523
2068_upper,MID_VOL,0.841977090767765
2068_lower,HIGH_VOL,0.9999999999989887
2069_upper,MID_VOL,0.841977090767765
2070_upper,HIGH_VOL,1.0
2070_lower,HIGH_VOL,1.0
2071_upper,HIGH_VOL,1.0
2071_lower,HIGH_VOL,1.0
2072_upper,HIGH_VOL,1.0
2072_lower,HIGH_VOL,1.0
2073_upper,MID_VOL,0.5581999305384003
2073_lower,HIGH_VOL,0.7083411988041555
2074_upper,LOW_VOL,0.7450731424264683
2074_lower,HIGH_VOL,0.9972862585771884
2075_upper,LOW_VOL,0.6466834335963676
2076_upper,LOW_VOL,0.7333447461644603
2076_lower,HIGH_VOL,0.9999999999999999
2077_lower,HIGH_VOL,0.9999999999999977
2080_lower,HIGH_VOL,1.0
2081_lower,HIGH_VOL,0.9865327426142971
2082_lower,HIGH_VOL,0.9999996223768083
2083_upper,MID_VOL,0.6376975476627692
2085_lower,HIGH_VOL,0.9971854497689264
2086_lower,HIGH_VOL,1.0
2087_lower,HIGH_VOL,0.9999999999938695
2088_lower,HIGH_VOL,0.9999999999999957
2089_upper,MID_VOL,0.5538775220421539
2090_upper,HIGH_VOL,1.0
2090_lower,HIGH_VOL,0.9973197347101157
2091_upper,LOW_VOL,0.743478307650467
2091_lower,HIGH_VOL,0.9999395633144762
2092_upper,HIGH_VOL,0.9999999999999996
2092_lower,HIGH_VOL,0.9436076410965065
2093_upper,MID_VOL,0.5538775220421539
2093_lower,HIGH_VOL,0.9999981384171328
2094_upper,HIGH_VOL,0.9999999999999996
2095_upper,HIGH_VOL,0.9999999999999996
2095_lower,HIGH_VOL,0.9996532711783579
2096_upper,HIGH_VOL,0.9999999739436364
2097_lower,MID_VOL,0.9550787026051843
2099_upper,LOW_VOL,0.6640212847851302
2099_lower,HIGH_VOL,0.9999981384171328
2100_upper,MID_VOL,0.9953582093285595
2101_upper,HIGH_VOL,1.0
2101_lower,MID_VOL,0.913117256584498
2103_lower,HIGH_VOL,1.0
2104_upper,HIGH_VOL,0.941714185177396
2105_upper,HIGH_VOL,1.0
2105_lower,HIGH_VOL,0.9999553377415458
2106_lower,HIGH_VOL,0.9999999999758241
2107_lower,HIGH_VOL,1.0
2108_upper,LOW_VOL,0.7363495850790469
2109_upper,HIGH_VOL,0.9999835795394892
2109_lower,HIGH_VOL,1.0
2110_upper,LOW_VOL,0.7122761522118406
2110_lower,LOW_VOL,0.4873436513897577
2111_upper,LOW_VOL,0.5489908637303277
2111_lower,HIGH_VOL,0.6312096455784507
2112_upper,MID_VOL,0.713084185429933
2112_lower,HIGH_VOL,0.8976585989939633
2113_lower,HIGH_VOL,0.9999553377415458
2114_lower,HIGH_VOL,0.9999553377415458
2115_upper,HIGH_VOL,1.0
2115_lower,HIGH_VOL,0.8721375714944163
2116_lower,MID_VOL,0.697205401937752
2117_lower,MID_VOL,0.5023268945303989
2119_upper,MID_VOL,0.9456762294127717
2120_upper,MID_VOL,0.6340567568485759
2120_lower,HIGH_VOL,0.966513284135865
2121_upper,HIGH_VOL,1.0
2122_lower,HIGH_VOL,0.9247691135665941
2123_upper,HIGH_VOL,0.873225858606314
2127_upper,HIGH_VOL,0.985092190122019
2128_upper,LOW_VOL,0.6819717151406833
2130_upper,LOW_VOL,0.7189244438317158
2131_upper,LOW_VOL,0.6635271995681911
2132_upper,HIGH_VOL,0.9999999999999988
2133_upper,LOW_VOL,0.5310521111011157
2134_upper,LOW_VOL,0.621242872057935
2135_upper,MID_VOL,0.5998321705040945
2136_upper,MID_VOL,0.9548557411949833
2137_upper,HIGH_VOL,0.9999999999957119
2137_lower,HIGH_VOL,1.0
2138_upper,LOW_VOL,0.5906489413697616
2139_upper,MID_VOL,0.5956422808605749
2139_lower,HIGH_VOL,0.7093510169508196
2140_upper,MID_VOL,0.7176964644507545
2141_upper,MID_VOL,0.5220366705142844
2142_upper,HIGH_VOL,1.0
2143_upper,HIGH_VOL,0.9995740740211446
2144_upper,LOW_VOL,0.7271494832076119
2147_upper,MID_VOL,0.5213904795378708
2148_upper,LOW_VOL,0.7387007803418776
2149_upper,HIGH_VOL,0.9553919946177764
2149_lower,HIGH_VOL,0.999999999992563
2150_upper,MID_VOL,0.9759086293241924
2150_lower,HIGH_VOL,1.0
2151_upper,MID_VOL,0.8933400352227996
2151_lower,HIGH_VOL,0.9999314736377045
2152_upper,MID_VOL,0.9343167413560829
2152_lower,HIGH_VOL,0.999243827750087
2153_upper,HIGH_VOL,0.9999997548161023
2153_lower,HIGH_VOL,1.0
2154_upper,HIGH_VOL,0.9999997548161023
2154_lower,HIGH_VOL,0.9999998913694165
2155_upper,LOW_VOL,0.633546754806938
2156_upper,HIGH_VOL,0.9503616788833579
2157_upper,LOW_VOL,0.6816213207756596
2158_upper,HIGH_VOL,0.9999999999996758
2158_lower,HIGH_VOL,0.999999998944169
2159_upper,LOW_VOL,0.6868318578874666
2159_lower,HIGH_VOL,0.9999999200413519
2160_upper,MID_VOL,0.9573770264787863
2160_lower,HIGH_VOL,0.9999998210493344
2161_upper,HIGH_VOL,0.8930813485694762
2161_lower,HIGH_VOL,0.9999999988501957
2162_upper,HIGH_VOL,0.9999964736446574
2162_lower,HIGH_VOL,0.9998659802586772
2163_lower,LOW_VOL,0.837331931216161
2164_lower,LOW_VOL,0.5237710290043167
2165_lower,MID_VOL,0.7825942447533392
2166_lower,MID_VOL,0.9784265911254636
2167_lower,HIGH_VOL,0.9999999999999941
2168_lower,HIGH_VOL,0.9999172446747645
