level_id,session_date,year,side,entry_time,exit_time,entry_price,exit_price,pnl,exit_reason
0_upper,2018-01-03,2018,upper,2018-01-03 04:06:00-05:00,2018-01-03 15:59:00-05:00,6529.134910517963,6583.75,-54.61508948203664,cutoff
1_upper,2018-01-04,2018,upper,2018-01-03 19:09:00-05:00,2018-01-04 15:59:00-05:00,6591.363648739487,6596.0,-4.636351260513038,cutoff
2_upper,2018-01-05,2018,upper,2018-01-05 11:17:00-05:00,2018-01-05 15:59:00-05:00,6647.463047114303,6660.75,-13.286952885697247,cutoff
4_upper,2018-01-09,2018,upper,2018-01-09 08:26:00-05:00,2018-01-09 15:59:00-05:00,6700.852925468027,6689.25,11.602925468027024,cutoff
5_lower,2018-01-10,2018,lower,2018-01-10 05:59:00-05:00,2018-01-10 15:59:00-05:00,6644.365418961772,6672.75,28.384581038228134,cutoff
6_upper,2018-01-11,2018,upper,2018-01-11 12:38:00-05:00,2018-01-11 15:59:00-05:00,6705.969460652561,6717.0,-11.030539347439117,cutoff
5_upper,2018-01-12,2018,upper,2018-01-12 03:25:00-05:00,2018-01-12 15:59:00-05:00,6741.759581038228,6765.5,-23.740418961771866,cutoff
9_upper,2018-01-16,2018,upper,2018-01-16 05:23:00-05:00,2018-01-16 15:59:00-05:00,6809.770647884909,6748.25,61.52064788490861,cutoff
11_upper,2018-01-17,2018,upper,2018-01-17 14:53:00-05:00,2018-01-17 15:59:00-05:00,6825.380439588893,6823.25,2.130439588892841,cutoff
12_upper,2018-01-22,2018,upper,2018-01-22 10:09:00-05:00,2018-01-22 15:59:00-05:00,6862.577746742863,6917.75,-55.17225325713662,cutoff
15_upper,2018-01-24,2018,upper,2018-01-24 10:14:00-05:00,2018-01-24 15:59:00-05:00,6998.255469793344,6929.75,68.50546979334376,cutoff
18_upper,2018-01-26,2018,upper,2018-01-26 15:19:00-05:00,2018-01-26 15:59:00-05:00,7013.902387490326,7027.25,-13.347612509674036,cutoff
17_upper,2018-01-29,2018,upper,2018-01-28 18:21:00-05:00,2018-01-29 15:59:00-05:00,7040.024002913326,6993.0,47.0240029133256,cutoff
19_lower,2018-01-30,2018,lower,2018-01-29 22:52:00-05:00,2018-01-30 15:59:00-05:00,6956.366742923148,6941.25,-15.116742923148195,cutoff
21_lower,2018-01-31,2018,lower,2018-01-31 15:08:00-05:00,2018-01-31 15:59:00-05:00,6922.845854475921,6963.0,40.15414552407856,cutoff
17_lower,2018-02-02,2018,lower,2018-02-02 04:21:00-05:00,2018-02-02 15:59:00-05:00,6880.975997086674,6765.0,-115.9759970866744,cutoff
11_lower,2018-02-05,2018,lower,2018-02-04 18:00:00-05:00,2018-02-05 15:59:00-05:00,6723.494560411107,6499.5,-223.99456041110716,cutoff
25_upper,2018-02-07,2018,upper,2018-02-07 10:08:00-05:00,2018-02-07 15:59:00-05:00,6684.944584107352,6579.5,105.44458410735206,cutoff
27_lower,2018-02-08,2018,lower,2018-02-08 10:54:00-05:00,2018-02-08 15:59:00-05:00,6489.755992857791,6302.25,-187.50599285779117,cutoff
28_lower,2018-02-09,2018,lower,2018-02-09 12:06:00-05:00,2018-02-09 15:59:00-05:00,6265.346978933865,6409.5,144.1530210661349,cutoff
28_upper,2018-02-12,2018,upper,2018-02-12 09:44:00-05:00,2018-02-12 15:59:00-05:00,6513.528021066135,6525.25,-11.721978933865103,cutoff
30_upper,2018-02-14,2018,upper,2018-02-14 02:34:00-05:00,2018-02-14 15:59:00-05:00,6590.569710186437,6680.75,-90.18028981356292,cutoff
26_upper,2018-02-15,2018,upper,2018-02-15 12:39:00-05:00,2018-02-15 15:59:00-05:00,6754.8584078021295,6802.0,-47.14159219787052,cutoff
34_lower,2018-02-20,2018,lower,2018-02-20 05:04:00-05:00,2018-02-20 15:59:00-05:00,6727.800168995409,6784.25,56.44983100459103,cutoff
35_upper,2018-02-21,2018,upper,2018-02-21 11:27:00-05:00,2018-02-21 15:59:00-05:00,6851.230605849432,6763.0,88.23060584943232,cutoff
33_lower,2018-02-22,2018,lower,2018-02-21 18:54:00-05:00,2018-02-22 15:59:00-05:00,6721.187765756946,6767.25,46.06223424305426,cutoff
37_upper,2018-02-23,2018,upper,2018-02-23 14:49:00-05:00,2018-02-23 15:59:00-05:00,6871.912614461429,6901.5,-29.587385538570743,cutoff
23_upper,2018-02-26,2018,upper,2018-02-26 12:57:00-05:00,2018-02-26 15:59:00-05:00,6971.006897687846,6992.25,-21.243102312154406,cutoff
40_lower,2018-02-27,2018,lower,2018-02-27 12:20:00-05:00,2018-02-27 15:59:00-05:00,6926.71319448983,6905.0,-21.71319448983013,cutoff
39_lower,2018-02-28,2018,lower,2018-02-28 15:45:00-05:00,2018-02-28 15:59:00-05:00,6879.299880883785,6861.25,-18.04988088378468,cutoff
38_lower,2018-03-01,2018,lower,2018-03-01 13:45:00-05:00,2018-03-01 15:59:00-05:00,6747.626726108781,6753.0,5.37327389121856,cutoff
35_lower,2018-03-02,2018,lower,2018-03-02 08:01:00-05:00,2018-03-02 15:59:00-05:00,6674.644394150568,6811.75,137.10560584943232,cutoff
44_upper,2018-03-05,2018,upper,2018-03-05 11:41:00-05:00,2018-03-05 15:59:00-05:00,6857.609340965633,6884.75,-27.140659034366763,cutoff
45_lower,2018-03-07,2018,lower,2018-03-06 18:00:00-05:00,2018-03-07 15:59:00-05:00,6847.01664539836,6930.0,82.9833546016398,cutoff
46_upper,2018-03-08,2018,upper,2018-03-08 02:11:00-05:00,2018-03-08 15:59:00-05:00,6945.66025015068,6967.25,-21.58974984931956,cutoff
45_upper,2018-03-09,2018,upper,2018-03-08 19:00:00-05:00,2018-03-09 15:59:00-05:00,7000.75,7127.5,-126.75,cutoff
49_upper,2018-03-13,2018,upper,2018-03-13 09:42:00-04:00,2018-03-13 15:59:00-04:00,7211.202029295153,7071.25,139.9520292951529,cutoff
51_lower,2018-03-15,2018,lower,2018-03-14 21:10:00-04:00,2018-03-15 15:59:00-04:00,7027.927462033644,7055.25,27.32253796635632,cutoff
53_lower,2018-03-19,2018,lower,2018-03-18 20:59:00-04:00,2018-03-19 15:59:00-04:00,7019.536644549242,6885.75,-133.78664454924183,cutoff
55_lower,2018-03-22,2018,lower,2018-03-22 03:59:00-04:00,2018-03-22 15:59:00-04:00,6815.833165584705,6698.0,-117.83316558470506,cutoff
58_lower,2018-03-23,2018,lower,2018-03-23 15:00:00-04:00,2018-03-23 15:59:00-04:00,6582.5845918092255,6520.25,-62.33459180922546,cutoff
59_lower,2018-03-26,2018,lower,2018-03-26 11:19:00-04:00,2018-03-26 15:59:00-04:00,6555.590673508264,6771.25,215.65932649173556,cutoff
58_upper,2018-03-27,2018,upper,2018-03-26 20:01:00-04:00,2018-03-27 15:59:00-04:00,6796.0404081907745,6543.75,252.29040819077454,cutoff
62_upper,2018-03-29,2018,upper,2018-03-29 14:11:00-04:00,2018-03-29 15:59:00-04:00,6618.200644567763,6589.5,28.700644567763447,cutoff
63_lower,2018-04-02,2018,lower,2018-04-02 11:36:00-04:00,2018-04-02 15:59:00-04:00,6394.937625773999,6399.5,4.562374226001339,cutoff
65_upper,2018-04-04,2018,upper,2018-04-04 11:31:00-04:00,2018-04-04 15:59:00-04:00,6467.935910178159,6568.75,-100.81408982184075,cutoff
66_lower,2018-04-06,2018,lower,2018-04-05 18:55:00-04:00,2018-04-06 15:59:00-04:00,6533.187655664731,6443.0,-90.18765566473121,cutoff
68_upper,2018-04-10,2018,upper,2018-04-09 22:42:00-04:00,2018-04-10 15:59:00-04:00,6618.015361193202,6626.5,-8.484638806798102,cutoff
67_upper,2018-04-11,2018,upper,2018-04-11 12:03:00-04:00,2018-04-11 15:59:00-04:00,6653.787367679794,6594.5,59.28736767979444,cutoff
69_upper,2018-04-12,2018,upper,2018-04-12 09:59:00-04:00,2018-04-12 15:59:00-04:00,6674.120573515432,6667.75,6.370573515431715,cutoff
71_upper,2018-04-17,2018,upper,2018-04-17 02:19:00-04:00,2018-04-17 15:59:00-04:00,6742.225463751627,6826.25,-84.0245362483729,cutoff
75_lower,2018-04-20,2018,lower,2018-04-20 03:30:00-04:00,2018-04-20 15:59:00-04:00,6754.992006121582,6673.0,-81.99200612158165,cutoff
78_lower,2018-04-24,2018,lower,2018-04-24 10:24:00-04:00,2018-04-24 15:59:00-04:00,6615.554947578565,6512.75,-102.80494757856468,cutoff
80_upper,2018-04-26,2018,upper,2018-04-26 10:04:00-04:00,2018-04-26 15:59:00-04:00,6618.426920574853,6655.25,-36.823079425146716,cutoff
78_upper,2018-04-27,2018,upper,2018-04-27 08:47:00-04:00,2018-04-27 15:59:00-04:00,6767.945052421435,6661.75,106.19505242143532,cutoff
83_lower,2018-04-30,2018,lower,2018-04-30 12:09:00-04:00,2018-04-30 15:59:00-04:00,6612.5646574806215,6610.75,-1.814657480621463,cutoff
84_upper,2018-05-01,2018,upper,2018-05-01 15:50:00-04:00,2018-05-01 15:59:00-04:00,6679.80807177099,6685.0,-5.1919282290100455,cutoff
86_upper,2018-05-04,2018,upper,2018-05-04 10:25:00-04:00,2018-05-04 15:59:00-04:00,6692.836225843241,6772.75,-79.91377415675925,cutoff
77_upper,2018-05-07,2018,upper,2018-05-07 00:30:00-04:00,2018-05-07 15:59:00-04:00,6828.16377343615,6826.75,1.4137734361502226,cutoff
76_upper,2018-05-09,2018,upper,2018-05-09 12:48:00-04:00,2018-05-09 15:59:00-04:00,6871.215187438924,6895.25,-24.03481256107625,cutoff
91_upper,2018-05-10,2018,upper,2018-05-10 13:10:00-04:00,2018-05-10 15:59:00-04:00,6969.484773303996,6967.5,1.9847733039960076,cutoff
92_upper,2018-05-14,2018,upper,2018-05-14 10:30:00-04:00,2018-05-14 15:59:00-04:00,7007.349699090812,6969.25,38.099699090811555,cutoff
93_lower,2018-05-15,2018,lower,2018-05-15 08:39:00-04:00,2018-05-15 15:59:00-04:00,6928.543047509258,6889.25,-39.29304750925803,cutoff
95_upper,2018-05-17,2018,upper,2018-05-17 10:57:00-04:00,2018-05-17 15:59:00-04:00,6960.568010688974,6907.5,53.06801068897403,cutoff
97_upper,2018-05-21,2018,upper,2018-05-20 18:00:00-04:00,2018-05-21 15:59:00-04:00,6935.473866313412,6912.0,23.473866313412145,cutoff
98_lower,2018-05-23,2018,lower,2018-05-22 21:51:00-04:00,2018-05-23 15:59:00-04:00,6878.121273342689,6960.0,81.87872665731084,cutoff
94_upper,2018-05-24,2018,upper,2018-05-24 03:19:00-04:00,2018-05-24 15:59:00-04:00,6971.765545524388,6954.25,17.515545524387562,cutoff
98_upper,2018-05-25,2018,upper,2018-05-24 21:33:00-04:00,2018-05-25 15:59:00-04:00,6988.503726657311,6963.5,25.003726657310835,cutoff
103_lower,2018-05-29,2018,lower,2018-05-29 02:47:00-04:00,2018-05-29 15:59:00-04:00,6935.904766379892,6931.75,-4.154766379891953,cutoff
104_upper,2018-05-31,2018,upper,2018-05-31 11:39:00-04:00,2018-05-31 15:59:00-04:00,7007.195181795412,6977.0,30.19518179541228,cutoff
93_upper,2018-06-01,2018,upper,2018-06-01 09:55:00-04:00,2018-06-01 15:59:00-04:00,7036.581952490742,7086.25,-49.66804750925803,cutoff
107_upper,2018-06-04,2018,upper,2018-06-03 20:18:00-04:00,2018-06-04 15:59:00-04:00,7092.43659505992,7147.0,-54.563404940079636,cutoff
108_upper,2018-06-05,2018,upper,2018-06-05 04:00:00-04:00,2018-06-05 15:59:00-04:00,7156.635231374005,7170.75,-14.114768625994657,cutoff
110_upper,2018-06-07,2018,upper,2018-06-07 02:32:00-04:00,2018-06-07 15:59:00-04:00,7231.326699234774,7152.75,78.57669923477442,cutoff
110_lower,2018-06-08,2018,lower,2018-06-08 04:10:00-04:00,2018-06-08 15:59:00-04:00,7113.548300765226,7176.0,62.45169923477442,cutoff
112_upper,2018-06-11,2018,upper,2018-06-11 09:46:00-04:00,2018-06-11 15:59:00-04:00,7194.487916844135,7193.0,1.4879168441348156,cutoff
113_upper,2018-06-12,2018,upper,2018-06-12 11:44:00-04:00,2018-06-12 15:59:00-04:00,7226.99282082399,7236.25,-9.25717917601014,cutoff
114_upper,2018-06-13,2018,upper,2018-06-12 20:23:00-04:00,2018-06-13 15:59:00-04:00,7254.301705073458,7230.75,23.551705073457924,cutoff
115_upper,2018-06-14,2018,upper,2018-06-14 10:20:00-04:00,2018-06-14 15:59:00-04:00,7303.289655676041,7310.25,-6.960344323959362,cutoff
117_lower,2018-06-18,2018,lower,2018-06-18 09:34:00-04:00,2018-06-18 15:59:00-04:00,7214.541889345101,7274.0,59.45811065489943,cutoff
116_lower,2018-06-19,2018,lower,2018-06-18 21:55:00-04:00,2018-06-19 15:59:00-04:00,7207.821104982877,7252.25,44.42889501712307,cutoff
119_upper,2018-06-20,2018,upper,2018-06-19 20:02:00-04:00,2018-06-20 15:59:00-04:00,7262.911183414944,7306.0,-43.08881658505561,cutoff
116_upper,2018-06-21,2018,upper,2018-06-20 21:57:00-04:00,2018-06-21 15:59:00-04:00,7342.428895017123,7239.75,102.67889501712307,cutoff
121_lower,2018-06-22,2018,lower,2018-06-22 10:34:00-04:00,2018-06-22 15:59:00-04:00,7198.555087663368,7216.0,17.444912336632115,cutoff
122_lower,2018-06-25,2018,lower,2018-06-25 05:03:00-04:00,2018-06-25 15:59:00-04:00,7161.205449367277,7058.0,-103.20544936727674,cutoff
125_lower,2018-06-27,2018,lower,2018-06-27 13:14:00-04:00,2018-06-27 15:59:00-04:00,7052.521768683338,6989.0,-63.52176868333845,cutoff
