year,n,mfe_mean,mfe_median,mae_mean,mae_median,cutoff_pnl_mean,frac_mae_before_mfe
2018,406,45.16036593847836,31.69406064057557,-48.512663618171885,-34.710799899600715,-3.980643913738391,0.4876847290640394
2019,386,41.1099921894872,32.11503969698106,-42.45866066025374,-32.03077262066654,1.2039041065856433,0.5518134715025906
2020,398,107.35827364339917,64.97606447489125,-89.24788213549533,-61.809426020604405,13.183650527821268,0.5050251256281407
2021,378,82.09656442320424,53.79167593636157,-87.27645144981163,-56.082175883552736,-2.9748641482243308,0.4444444444444444
2022,398,127.10224220307103,75.33062118885391,-115.11195377682847,-89.44373977800751,-10.63016985723049,0.4396984924623116
2023,398,82.97592398269043,56.75,-73.13274435901812,-54.30205580490474,-1.1007091831387283,0.47738693467336685
2024,403,97.38698293923332,65.12894021355896,-120.30904683744161,-81.55264941174028,-26.806565447863456,0.46153846153846156
2025,392,154.43355673933667,109.82442646833624,-146.77626468923478,-100.4777402570653,7.256260820969313,0.5535714285714286
2026,172,208.18770048395612,137.64549804046328,-171.86607858581132,-110.83108617651305,31.37229350721193,0.5290697674418605
