session_date,touched_at,exit_time,pnl,event
2018-01-03,2018-01-03 09:06:00+00:00,2018-01-03 09:59:00-05:00,-32.25,SAL_activated
2018-01-04,2018-01-04 00:09:00+00:00,2018-01-04 08:25:00-05:00,-25.5,SAL_activated
2018-01-05,2018-01-05 16:17:00+00:00,2018-01-05 15:50:00-05:00,-18.5,SAL_activated
2018-01-11,2018-01-11 17:38:00+00:00,2018-01-11 15:59:00-05:00,-11.030539347439117,SAL_activated
2018-01-16,2018-01-16 10:23:00+00:00,2018-01-16 09:37:00-05:00,-17.5,SAL_activated
2018-01-16,2018-01-16 18:55:00+00:00,,,blocked_by_SAL
2018-01-16,2018-01-16 19:22:00+00:00,,,blocked_by_SAL
2018-01-22,2018-01-22 15:09:00+00:00,2018-01-22 10:36:00-05:00,-23.0,SAL_activated
2018-01-22,2018-01-22 17:31:00+00:00,,,blocked_by_SAL
2018-01-22,2018-01-22 20:50:00+00:00,,,blocked_by_SAL
2018-01-24,2018-01-24 16:34:00+00:00,2018-01-24 13:09:00-05:00,-28.75,SAL_activated
2018-01-24,2018-01-24 18:16:00+00:00,,,blocked_by_SAL
2018-01-26,2018-01-26 20:19:00+00:00,2018-01-26 15:59:00-05:00,-13.347612509674036,SAL_activated
2018-01-30,2018-01-30 03:52:00+00:00,2018-01-29 23:14:00-05:00,-29.75,SAL_activated
2018-01-30,2018-01-30 15:05:00+00:00,,,blocked_by_SAL
2018-02-02,2018-02-02 09:21:00+00:00,2018-02-02 09:54:00-05:00,-40.75,SAL_activated
2018-02-02,2018-02-02 20:03:00+00:00,,,blocked_by_SAL
2018-02-02,2018-02-02 20:05:00+00:00,,,blocked_by_SAL
2018-02-05,2018-02-05 19:48:00+00:00,2018-02-05 15:07:00-05:00,-78.5,SAL_activated
2018-02-08,2018-02-08 15:54:00+00:00,2018-02-08 12:26:00-05:00,-50.75,SAL_activated
2018-02-09,2018-02-09 17:06:00+00:00,2018-02-09 12:44:00-05:00,-73.75,SAL_activated
2018-02-14,2018-02-14 18:46:00+00:00,2018-02-14 15:59:00-05:00,-18.51122577629394,SAL_activated
2018-02-15,2018-02-15 17:39:00+00:00,2018-02-15 15:59:00-05:00,-47.14159219787052,SAL_activated
