level_id,side,session_date,year,created_at,expiry_at,touched_at,entry_price,minutes_elapsed,window_allowed,hmm_state,hmm_prob,hmm_prob_low,hmm_prob_mid,hmm_prob_high,hmm_last_bar_ts,hmm_n_train_sessions,hmm_earliest_train_session,hmm_latest_train_session,hmm_param_hash,hmm_allowed,position_available,tp_dist,sl_dist,skip_reason,entry_time,profit_lock_trigger_ts,profit_lock_activation_ts,exit_time,exit_reason,pnl_pts,r_multiple
256_lower,lower,2019-01-02,2019,2018-12-31 10:30:00-05:00,2019-01-29 10:30:00-05:00,2019-01-02 08:03:00+00:00,6238.169923802291,543,False,MID_VOL,0.8240002367129369,0.03915904579677402,0.8240002367129369,0.13684071749028914,2019-01-02 07:55:00+00:00,120,2018-07-17,2018-12-31,886f8474a2418a2c,True,True,29.5,33.25,blocked_window,,,,,,,
255_lower,lower,2019-01-02,2019,2018-12-28 10:30:00-05:00,2019-01-28 10:30:00-05:00,2019-01-02 08:22:00+00:00,6185.839423975138,562,False,HIGH_VOL,1.0,1.1096072077716138e-50,2.048354674678205e-26,1.0,2019-01-02 08:15:00+00:00,120,2018-07-17,2018-12-31,886f8474a2418a2c,True,True,29.5,33.25,blocked_window,,,,,,,
257_upper,upper,2019-01-02,2019,2019-01-02 10:30:00-05:00,2019-01-30 10:30:00-05:00,2019-01-02 18:01:00+00:00,6382.247565499358,1141,False,HIGH_VOL,1.0,2.879303849359866e-39,9.101575052872125e-25,1.0,2019-01-02 17:55:00+00:00,120,2018-07-17,2018-12-31,886f8474a2418a2c,True,True,28.25,34.0,blocked_window,,,,,,,
258_upper,upper,2019-01-04,2019,2019-01-03 10:30:00-05:00,2019-01-31 10:30:00-05:00,2019-01-04 16:11:00+00:00,6408.746399434796,1031,False,HIGH_VOL,1.0,1.7980141624962197e-32,3.484978339999065e-20,1.0,2019-01-04 16:05:00+00:00,120,2018-07-19,2019-01-03,1c753d4486b7c356,True,True,46.0,46.5,blocked_window,,,,,,,
251_upper,upper,2019-01-04,2019,2018-12-21 10:30:00-05:00,2019-01-22 10:30:00-05:00,2019-01-04 17:17:00+00:00,6423.489583693136,1097,False,HIGH_VOL,0.999999997893296,1.0001769027812587e-17,2.1067040767766113e-09,0.999999997893296,2019-01-04 17:10:00+00:00,120,2018-07-19,2019-01-03,1c753d4486b7c356,True,True,48.0,48.5,blocked_window,,,,,,,
259_upper,upper,2019-01-04,2019,2019-01-04 10:30:00-05:00,2019-02-01 10:30:00-05:00,2019-01-04 18:07:00+00:00,6445.8122232536025,1147,False,HIGH_VOL,0.9996005400347973,1.3518185324861168e-08,0.00039944644701751277,0.9996005400347973,2019-01-04 18:00:00+00:00,120,2018-07-19,2019-01-03,1c753d4486b7c356,True,True,41.5,42.25,blocked_window,,,,,,,
255_upper,upper,2019-01-04,2019,2018-12-28 10:30:00-05:00,2019-01-28 10:30:00-05:00,2019-01-04 18:31:00+00:00,6458.285576024862,1171,False,HIGH_VOL,0.9999999681230449,1.88817652846348e-17,3.187695511156472e-08,0.9999999681230449,2019-01-04 18:25:00+00:00,120,2018-07-19,2019-01-03,1c753d4486b7c356,True,True,41.5,42.0,blocked_window,,,,,,,
250_upper,upper,2019-01-07,2019,2018-12-20 10:30:00-05:00,2019-01-21 10:30:00-05:00,2019-01-07 00:03:00+00:00,6469.258199892534,63,False,LOW_VOL,0.5707911759761831,0.5707911759761831,0.34593387003041964,0.08327495399339742,2019-01-06 23:55:00+00:00,120,2018-07-20,2019-01-04,5b3bac26e41cd3a1,False,True,80.75,64.0,blocked_window,,,,,,,
256_upper,upper,2019-01-07,2019,2018-12-31 10:30:00-05:00,2019-01-29 10:30:00-05:00,2019-01-07 00:03:00+00:00,6465.205076197709,63,False,LOW_VOL,0.5707911759761831,0.5707911759761831,0.34593387003041964,0.08327495399339742,2019-01-06 23:55:00+00:00,120,2018-07-20,2019-01-04,5b3bac26e41cd3a1,False,True,80.75,64.0,blocked_window,,,,,,,
260_upper,upper,2019-01-07,2019,2019-01-07 10:30:00-05:00,2019-02-04 10:30:00-05:00,2019-01-07 18:10:00+00:00,6534.203628201894,1150,False,LOW_VOL,0.7041934379876995,0.7041934379876995,0.29118887507141655,0.004617686940884022,2019-01-07 18:05:00+00:00,120,2018-07-20,2019-01-04,5b3bac26e41cd3a1,False,True,72.25,59.25,blocked_window,,,,,,,
248_upper,upper,2019-01-09,2019,2018-12-18 10:30:00-05:00,2019-01-17 10:30:00-05:00,2019-01-09 16:52:00+00:00,6619.752105687365,1072,False,HIGH_VOL,0.9965526657545727,5.293418371765458e-12,0.0034473342401338002,0.9965526657545727,2019-01-09 16:45:00+00:00,120,2018-07-24,2019-01-08,416c906408503517,True,True,33.5,37.25,blocked_window,,,,,,,
265_upper,upper,2019-01-15,2019,2019-01-14 10:30:00-05:00,2019-02-11 10:30:00-05:00,2019-01-15 14:36:00+00:00,6623.795237270195,936,True,HIGH_VOL,0.999999999999996,9.873100566159533e-36,4.011233865920969e-15,0.999999999999996,2019-01-15 14:30:00+00:00,120,2018-07-30,2019-01-14,8cd9a27452a844d3,True,True,22.5,26.75,,2019-01-15 14:36:00+00:00,,,2019-01-15 15:00:00+00:00,SL,-26.75,-1.0
249_upper,upper,2019-01-15,2019,2018-12-19 10:30:00-05:00,2019-01-18 10:30:00-05:00,2019-01-15 15:00:00+00:00,6661.077467806572,960,True,HIGH_VOL,1.0,4.215425751019794e-54,3.162664830904719e-41,1.0,2019-01-15 14:55:00+00:00,120,2018-07-30,2019-01-14,8cd9a27452a844d3,True,False,26.25,33.5,same_bar_reentry,,,,,,,
263_upper,upper,2019-01-15,2019,2019-01-10 10:30:00-05:00,2019-02-07 10:30:00-05:00,2019-01-15 15:00:00+00:00,6658.400453387424,960,True,HIGH_VOL,1.0,4.215425751019794e-54,3.162664830904719e-41,1.0,2019-01-15 14:55:00+00:00,120,2018-07-30,2019-01-14,8cd9a27452a844d3,True,False,26.25,33.5,same_bar_reentry,,,,,,,
264_upper,upper,2019-01-15,2019,2019-01-11 10:30:00-05:00,2019-02-08 10:30:00-05:00,2019-01-15 15:02:00+00:00,6668.516077014737,962,True,HIGH_VOL,1.0,4.215425751019794e-54,3.162664830904719e-41,1.0,2019-01-15 14:55:00+00:00,120,2018-07-30,2019-01-14,8cd9a27452a844d3,True,True,26.25,33.5,,2019-01-15 15:02:00+00:00,,,2019-01-15 15:15:00+00:00,TP,26.25,0.7835820895522388
261_upper,upper,2019-01-15,2019,2019-01-08 10:30:00-05:00,2019-02-05 10:30:00-05:00,2019-01-15 16:57:00+00:00,6672.11161245274,1077,False,HIGH_VOL,0.9920249000912095,0.00012062745861886781,0.00785447245017177,0.9920249000912095,2019-01-15 16:50:00+00:00,120,2018-07-30,2019-01-14,8cd9a27452a844d3,True,True,26.75,31.0,blocked_window,,,,,,,
262_upper,upper,2019-01-15,2019,2019-01-09 10:30:00-05:00,2019-02-06 10:30:00-05:00,2019-01-15 17:02:00+00:00,6678.58359465701,1082,False,HIGH_VOL,0.9999999999999701,5.984146226088798e-29,2.993287837256753e-14,0.9999999999999701,2019-01-15 16:55:00+00:00,120,2018-07-30,2019-01-14,8cd9a27452a844d3,True,True,23.0,28.75,blocked_window,,,,,,,
