level_id,level_idx,created_at,expiry_at,touched_at,session_date,year,side,contract,level,entry_price,entry_fill_type,forced_liquidation_ts,mfe,mfe_ts,minutes_to_mfe,mae,mae_ts,minutes_to_mae,mae_before_mfe,mfe_before_mae,cutoff_pnl,path_len_minutes,mfe_5m,mae_5m,mtm_5m,mfe_15m,mae_15m,mtm_15m,mfe_30m,mae_30m,mtm_30m,mfe_45m,mae_45m,mtm_45m,mfe_60m,mae_60m,mtm_60m,mfe_90m,mae_90m,mtm_90m,mfe_120m,mae_120m,mtm_120m,mfe_180m,mae_180m,mtm_180m
0_upper,0,2018-01-02 10:30:00-05:00,2018-01-30 10:30:00-05:00,2018-01-03 04:06:00-05:00,2018-01-03,2018,upper,NQH8,6529.134910517963,6529.134910517963,clean,2018-01-03 15:59:00-05:00,8.884910517963363,2018-01-03 08:59:00-05:00,293,-62.11508948203664,2018-01-03 15:50:00-05:00,704,False,True,-54.61508948203664,713,0.6349105179633625,-0.3650894820366375,-0.11508948203663749,1.6349105179633625,-0.3650894820366375,0.8849105179633625,3.6349105179633625,-0.3650894820366375,2.8849105179633625,3.6349105179633625,-2.3650894820366375,0.3849105179633625,3.6349105179633625,-2.3650894820366375,0.8849105179633625,3.6349105179633625,-2.3650894820366375,2.6349105179633625,3.6349105179633625,-2.3650894820366375,0.6349105179633625,3.6349105179633625,-2.3650894820366375,2.3849105179633625
1_upper,1,2018-01-03 10:30:00-05:00,2018-01-31 10:30:00-05:00,2018-01-03 19:09:00-05:00,2018-01-04,2018,upper,NQH8,6591.363648739487,6591.363648739487,clean,2018-01-04 15:59:00-05:00,10.613648739486962,2018-01-03 20:15:00-05:00,65,-26.136351260513038,2018-01-04 08:25:00-05:00,792,False,True,-4.636351260513038,1246,3.613648739486962,-1.3863512605130381,3.613648739486962,6.863648739486962,-1.3863512605130381,3.613648739486962,6.863648739486962,-1.3863512605130381,4.613648739486962,6.863648739486962,-1.3863512605130381,4.863648739486962,8.113648739486962,-1.3863512605130381,8.113648739486962,10.613648739486962,-1.3863512605130381,8.363648739486962,10.613648739486962,-1.3863512605130381,9.863648739486962,10.613648739486962,-1.3863512605130381,2.113648739486962
2_upper,2,2018-01-04 10:30:00-05:00,2018-02-01 10:30:00-05:00,2018-01-05 11:17:00-05:00,2018-01-05,2018,upper,NQH8,6647.463047114303,6647.463047114303,clean,2018-01-05 15:59:00-05:00,2.9630471143027535,2018-01-05 11:24:00-05:00,7,-19.536952885697247,2018-01-05 15:50:00-05:00,273,False,True,-13.286952885697247,282,1.4630471143027535,-1.7869528856972465,1.2130471143027535,2.9630471143027535,-1.7869528856972465,0.21304711430275347,2.9630471143027535,-1.7869528856972465,0.21304711430275347,2.9630471143027535,-6.0369528856972465,-2.2869528856972465,2.9630471143027535,-7.0369528856972465,-4.0369528856972465,2.9630471143027535,-7.0369528856972465,-3.0369528856972465,2.9630471143027535,-7.0369528856972465,-2.2869528856972465,2.9630471143027535,-9.286952885697247,-4.2869528856972465
3_upper,3,2018-01-05 10:30:00-05:00,2018-02-02 10:30:00-05:00,2018-01-05 15:48:00-05:00,2018-01-05,2018,upper,NQH8,6660.819130484404,6660.819130484404,clean,2018-01-05 15:59:00-05:00,3.0691304844040133,2018-01-05 15:49:00-05:00,1,-6.180869515595987,2018-01-05 15:50:00-05:00,2,False,True,0.06913048440401326,11,3.0691304844040133,-6.180869515595987,-2.1808695155959867,3.0691304844040133,-6.180869515595987,0.06913048440401326,3.0691304844040133,-6.180869515595987,0.06913048440401326,3.0691304844040133,-6.180869515595987,0.06913048440401326,3.0691304844040133,-6.180869515595987,0.06913048440401326,3.0691304844040133,-6.180869515595987,0.06913048440401326,3.0691304844040133,-6.180869515595987,0.06913048440401326,3.0691304844040133,-6.180869515595987,0.06913048440401326
4_upper,4,2018-01-08 10:30:00-05:00,2018-02-05 10:30:00-05:00,2018-01-09 08:26:00-05:00,2018-01-09,2018,upper,NQH8,6700.852925468027,6700.852925468027,clean,2018-01-09 15:59:00-05:00,33.602925468027024,2018-01-09 09:53:00-05:00,87,-6.397074531972976,2018-01-09 13:24:00-05:00,298,False,True,11.602925468027024,453,0.3529254680270242,-1.3970745319729758,-0.14707453197297582,0.3529254680270242,-3.647074531972976,-3.397074531972976,0.3529254680270242,-4.897074531972976,-3.147074531972976,0.3529254680270242,-4.897074531972976,-3.897074531972976,0.3529254680270242,-4.897074531972976,-0.14707453197297582,33.602925468027024,-4.897074531972976,23.852925468027024,33.602925468027024,-4.897074531972976,13.602925468027024,33.602925468027024,-4.897074531972976,0.8529254680270242
4_lower,4,2018-01-08 10:30:00-05:00,2018-02-05 10:30:00-05:00,2018-01-10 10:02:00-05:00,2018-01-10,2018,lower,NQH8,6629.772074531973,6629.772074531973,clean,2018-01-10 15:59:00-05:00,44.477925468027024,2018-01-10 13:55:00-05:00,233,3.227925468027024,2018-01-10 10:03:00-05:00,1,True,False,42.977925468027024,357,14.727925468027024,3.227925468027024,12.977925468027024,27.477925468027024,3.227925468027024,23.727925468027024,28.727925468027024,3.227925468027024,13.727925468027024,28.727925468027024,3.227925468027024,15.977925468027024,29.727925468027024,3.227925468027024,29.227925468027024,35.477925468027024,3.227925468027024,22.227925468027024,35.477925468027024,3.227925468027024,27.227925468027024,36.477925468027024,3.227925468027024,33.227925468027024
5_upper,5,2018-01-09 10:30:00-05:00,2018-02-06 10:30:00-05:00,2018-01-12 03:25:00-05:00,2018-01-12,2018,upper,NQH8,6741.759581038228,6741.759581038228,clean,2018-01-12 15:59:00-05:00,38.509581038228134,2018-01-12 09:30:00-05:00,364,-32.240418961771866,2018-01-12 15:53:00-05:00,747,False,True,-23.740418961771866,753,0.2595810382281343,-2.7404189617718657,-1.2404189617718657,1.5095810382281343,-2.7404189617718657,-0.4904189617718657,2.0095810382281343,-2.7404189617718657,1.2595810382281343,2.7595810382281343,-2.7404189617718657,1.7595810382281343,2.7595810382281343,-2.7404189617718657,2.5095810382281343,6.259581038228134,-2.7404189617718657,6.259581038228134,7.259581038228134,-2.7404189617718657,5.009581038228134,8.509581038228134,-2.7404189617718657,8.259581038228134
5_lower,5,2018-01-09 10:30:00-05:00,2018-02-06 10:30:00-05:00,2018-01-10 05:59:00-05:00,2018-01-10,2018,lower,NQH8,6644.365418961772,6644.365418961772,clean,2018-01-10 15:59:00-05:00,29.884581038228134,2018-01-10 13:55:00-05:00,476,-16.115418961771866,2018-01-10 10:02:00-05:00,243,True,False,28.384581038228134,600,5.384581038228134,-1.1154189617718657,4.884581038228134,9.134581038228134,-1.1154189617718657,7.634581038228134,10.634581038228134,-1.1154189617718657,9.134581038228134,10.634581038228134,-1.1154189617718657,9.134581038228134,10.634581038228134,-1.1154189617718657,2.3845810382281343,10.634581038228134,-3.8654189617718657,7.634581038228134,10.634581038228134,-3.8654189617718657,3.8845810382281343,12.884581038228134,-3.8654189617718657,6.884581038228134
6_upper,6,2018-01-10 10:30:00-05:00,2018-02-07 10:30:00-05:00,2018-01-11 12:38:00-05:00,2018-01-11,2018,upper,NQH8,6705.969460652561,6705.969460652561,clean,2018-01-11 15:59:00-05:00,5.219460652560883,2018-01-11 14:47:00-05:00,129,-11.280539347439117,2018-01-11 15:59:00-05:00,201,False,True,-11.030539347439117,201,3.4694606525608833,-1.0305393474391167,-0.7805393474391167,3.4694606525608833,-2.7805393474391167,-0.7805393474391167,3.4694606525608833,-4.780539347439117,-3.0305393474391167,3.4694606525608833,-7.030539347439117,-3.0305393474391167,3.4694606525608833,-7.030539347439117,-0.7805393474391167,3.4694606525608833,-7.030539347439117,0.7194606525608833,3.7194606525608833,-7.030539347439117,0.7194606525608833,5.219460652560883,-7.030539347439117,-3.0305393474391167
6_lower,6,2018-01-10 10:30:00-05:00,2018-02-07 10:30:00-05:00,2018-02-05 15:04:00-05:00,2018-02-05,2018,lower,NQH8,6599.655539347439,6599.655539347439,clean,2018-02-05 15:59:00-05:00,45.59446065256088,2018-02-05 15:29:00-05:00,25,-107.40553934743912,2018-02-05 15:59:00-05:00,55,False,True,-100.15553934743912,55,17.344460652560883,-64.65553934743912,-61.40553934743912,33.84446065256088,-100.65553934743912,1.5944606525608833,45.59446065256088,-100.65553934743912,23.844460652560883,45.59446065256088,-100.65553934743912,-64.40553934743912,45.59446065256088,-107.40553934743912,-100.15553934743912,45.59446065256088,-107.40553934743912,-100.15553934743912,45.59446065256088,-107.40553934743912,-100.15553934743912,45.59446065256088,-107.40553934743912,-100.15553934743912
