year,n,net_pts,win_rate
2018,130,104.49,0.4
2019,122,-240.86,0.3115
2020,138,747.27,0.3188
2021,130,718.39,0.4
2022,132,1792.16,0.4015
2023,125,-96.16,0.368
2024,121,-176.62,0.3554
2025,142,1055.95,0.4014
2026,67,2743.56,0.5373
