sess_date,year,side,touched_at,level,anchor,cap,pnl_be60,exit_be60
2019-01-02,2019,lower,2019-01-02 03:03:00-05:00,6238.169923802291,28.75,43.125,-43.125,SL
2019-01-07,2019,upper,2019-01-06 19:03:00-05:00,6469.258199892534,15.25,22.875,-22.875,SL
2019-01-15,2019,upper,2019-01-15 09:36:00-05:00,6623.795237270195,18.75,28.125,-28.125,SL
2019-01-16,2019,upper,2019-01-16 09:33:00-05:00,6698.710922106751,8.25,12.375,-12.375,SL
2019-01-17,2019,lower,2019-01-17 03:16:00-05:00,6615.187968301361,19.0,28.5,28.5,TP
2019-01-18,2019,upper,2019-01-18 09:28:00-05:00,6785.562031698639,12.75,19.125,19.125,TP
2019-01-25,2019,upper,2019-01-25 10:02:00-05:00,6774.122767182309,30.75,46.125,-0.0,BE
2019-01-25,2019,upper,2019-01-25 10:09:00-05:00,6782.178267459183,30.75,46.125,-0.0,BE
2019-01-28,2019,lower,2019-01-28 09:33:00-05:00,6680.472121266195,12.75,19.125,-19.125,SL
2019-01-29,2019,lower,2019-01-29 10:57:00-05:00,6621.250354668582,43.5,65.25,7.499645331417923,cutoff
2019-02-07,2019,lower,2019-02-07 09:30:00-05:00,6927.889636332791,15.5,23.25,23.25,TP
2019-02-12,2019,upper,2019-02-12 10:58:00-05:00,7011.94860488138,34.5,51.75,-0.0,BE
2019-02-13,2019,upper,2019-02-12 19:12:00-05:00,7043.27827199871,13.5,20.25,-0.0,BE
2019-02-13,2019,upper,2019-02-13 01:18:00-05:00,7058.524825242923,8.25,12.375,12.375,TP
2019-02-14,2019,lower,2019-02-14 09:31:00-05:00,6981.2659991287555,58.0,87.0,54.73400087124446,cutoff
2019-02-15,2019,upper,2019-02-15 09:28:00-05:00,7071.945814887033,27.5,41.25,-0.0,BE
2019-02-20,2019,upper,2019-02-20 10:40:00-05:00,7103.860363667209,21.75,32.625,32.625,TP
2019-02-21,2019,upper,2019-02-20 22:40:00-05:00,7111.280173650113,29.0,43.5,43.5,TP
2019-02-21,2019,upper,2019-02-20 22:40:00-05:00,7110.376430518732,29.0,43.5,43.5,TP
2019-02-21,2019,lower,2019-02-21 09:45:00-05:00,7026.498569481268,20.75,31.125,0.0,BE
2019-02-21,2019,lower,2019-02-21 09:45:00-05:00,7028.562500307805,20.75,31.125,0.0,BE
2019-02-25,2019,upper,2019-02-25 06:24:00-05:00,7137.312499692195,10.75,16.125,-0.0,BE
2019-02-25,2019,upper,2019-02-25 08:47:00-05:00,7144.790488080103,8.25,12.375,-12.375,SL
2019-02-26,2019,lower,2019-02-25 20:28:00-05:00,7101.039941058964,11.75,17.625,-17.625,SL
2019-03-07,2019,lower,2019-03-06 19:05:00-05:00,7097.747854027111,12.5,18.75,0.0,BE
2019-03-07,2019,lower,2019-03-07 02:04:00-05:00,7088.7027966258065,5.0,7.5,0.0,BE
2019-03-07,2019,lower,2019-03-07 09:52:00-05:00,7038.961093836613,21.25,31.875,31.875,TP
2019-03-07,2019,lower,2019-03-07 09:52:00-05:00,7039.805088038031,21.25,31.875,0.0,BE
2019-03-08,2019,lower,2019-03-08 08:30:00-05:00,7001.408073618603,11.75,17.625,-17.625,SL
2019-03-13,2019,upper,2019-03-13 08:00:00-04:00,7262.804382013026,15.5,23.25,-0.0,BE
2019-03-15,2019,upper,2019-03-15 09:56:00-04:00,7332.254555376385,17.5,26.25,-0.0,BE
2019-03-18,2019,upper,2019-03-18 09:58:00-04:00,7364.223578148492,11.0,16.5,-0.0,BE
2019-03-25,2019,lower,2019-03-24 20:24:00-04:00,7337.82254636648,10.0,15.0,-15.0,SL
2019-03-26,2019,upper,2019-03-26 09:57:00-04:00,7433.512851730817,16.0,24.0,24.0,TP
2019-04-01,2019,upper,2019-03-31 19:05:00-04:00,7455.804037375222,26.0,39.0,-0.0,BE
2019-04-03,2019,upper,2019-04-02 21:45:00-04:00,7556.688231456711,41.5,62.25,-0.0,BE
2019-04-03,2019,upper,2019-04-03 03:32:00-04:00,7571.935485980624,6.25,9.375,9.375,TP
2019-04-11,2019,upper,2019-04-10 19:42:00-04:00,7658.0460071098805,6.75,10.125,-0.0,BE
2019-04-11,2019,upper,2019-04-10 19:42:00-04:00,7657.600879389686,6.75,10.125,-0.0,BE
2019-04-15,2019,lower,2019-04-15 10:43:00-04:00,7599.4532325090695,19.5,29.25,29.25,TP
2019-04-17,2019,upper,2019-04-16 21:59:00-04:00,7699.333072790703,16.25,24.375,-0.0,BE
2019-04-17,2019,upper,2019-04-17 08:03:00-04:00,7708.943373859822,8.75,13.125,-13.125,SL
2019-04-23,2019,upper,2019-04-23 09:44:00-04:00,7772.171559230863,9.5,14.25,-14.25,SL
2019-04-26,2019,lower,2019-04-26 09:43:00-04:00,7773.931429214922,38.5,57.75,48.81857078507801,cutoff
2019-04-30,2019,lower,2019-04-29 21:00:00-04:00,7787.768622292595,9.75,14.625,0.0,BE
2019-05-09,2019,lower,2019-05-09 02:52:00-04:00,7575.056626140178,22.75,34.125,0.0,BE
2019-05-09,2019,lower,2019-05-09 02:52:00-04:00,7578.916927209297,22.75,34.125,0.0,BE
2019-05-09,2019,lower,2019-05-09 08:49:00-04:00,7553.774120610314,18.25,27.375,-27.375,SL
2019-05-10,2019,upper,2019-05-09 20:24:00-04:00,7651.573096473161,28.25,42.375,42.375,TP
2019-05-13,2019,lower,2019-05-13 08:14:00-04:00,7422.426903526839,35.25,52.875,0.0,BE
2019-05-15,2019,upper,2019-05-15 10:42:00-04:00,7481.289402916763,58.25,87.375,-0.0,BE
2019-05-20,2019,lower,2019-05-20 06:14:00-04:00,7446.417643630048,20.0,30.0,-30.0,SL
2019-05-23,2019,lower,2019-05-23 02:07:00-04:00,7371.647120555797,13.75,20.625,0.0,BE
2019-05-23,2019,lower,2019-05-23 03:10:00-04:00,7352.542250373677,24.5,36.75,0.0,BE
2019-05-23,2019,lower,2019-05-23 09:45:00-04:00,7312.929449834561,25.5,38.25,0.0,BE
2019-05-28,2019,upper,2019-05-28 09:39:00-04:00,7364.662584484247,23.5,35.25,35.25,TP
2019-05-29,2019,lower,2019-05-28 20:09:00-04:00,7278.526693405793,14.0,21.0,-21.0,SL
2019-05-31,2019,lower,2019-05-31 03:05:00-04:00,7176.495656589786,15.75,23.625,-23.625,SL
2019-06-05,2019,upper,2019-06-05 05:27:00-04:00,7224.946166549782,13.25,19.875,-19.875,SL
2019-06-07,2019,upper,2019-06-07 04:08:00-04:00,7306.2149127648445,15.25,22.875,-0.0,BE
2019-06-07,2019,upper,2019-06-07 06:53:00-04:00,7318.629343410214,8.75,13.125,13.125,TP
2019-06-07,2019,upper,2019-06-07 06:59:00-04:00,7320.976023311203,8.75,13.125,13.125,TP
2019-06-07,2019,upper,2019-06-07 08:50:00-04:00,7325.629743750348,12.25,18.375,18.375,TP
2019-06-07,2019,upper,2019-06-07 10:34:00-04:00,7409.752653195399,71.25,106.875,-0.0,BE
2019-06-07,2019,upper,2019-06-07 10:40:00-04:00,7417.403327240856,71.25,106.875,-0.0,BE
2019-06-07,2019,upper,2019-06-07 10:57:00-04:00,7436.098306594207,71.25,106.875,-0.0,BE
2019-06-10,2019,upper,2019-06-10 09:33:00-04:00,7490.945550165439,15.5,23.25,-23.25,SL
2019-06-11,2019,upper,2019-06-11 08:35:00-04:00,7584.364849485702,10.75,16.125,-16.125,SL
2019-06-17,2019,upper,2019-06-17 09:53:00-04:00,7560.9113085016415,17.25,25.875,-0.0,BE
2019-06-17,2019,upper,2019-06-17 09:55:00-04:00,7570.924729812347,17.25,25.875,-0.0,BE
2019-06-18,2019,upper,2019-06-18 04:18:00-04:00,7584.937138920871,25.75,38.625,-0.0,BE
2019-06-18,2019,upper,2019-06-18 06:40:00-04:00,7620.4344029936965,10.25,15.375,-15.375,SL
2019-06-20,2019,upper,2019-06-19 21:09:00-04:00,7748.238854969065,15.0,22.5,-0.0,BE
2019-06-20,2019,upper,2019-06-19 23:49:00-04:00,7765.55530926014,16.5,24.75,-0.0,BE
2019-06-25,2019,lower,2019-06-25 10:22:00-04:00,7702.584942229007,43.25,64.875,0.0,BE
2019-06-25,2019,lower,2019-06-25 10:50:00-04:00,7687.89774341991,43.25,64.875,0.0,BE
2019-07-01,2019,upper,2019-07-01 03:03:00-04:00,7829.290057770993,13.75,20.625,-0.0,BE
2019-07-03,2019,upper,2019-07-03 03:15:00-04:00,7845.729041524407,7.25,10.875,-10.875,SL
2019-07-05,2019,lower,2019-07-05 08:30:00-04:00,7857.780845939943,10.75,16.125,16.125,TP
2019-07-08,2019,lower,2019-07-08 09:37:00-04:00,7791.326459544721,9.25,13.875,0.0,BE
2019-07-09,2019,lower,2019-07-08 23:23:00-04:00,7762.717990386845,12.0,18.0,0.0,BE
2019-07-09,2019,lower,2019-07-09 03:43:00-04:00,7751.393282055672,17.5,26.25,0.0,BE
2019-07-10,2019,upper,2019-07-10 08:33:00-04:00,7873.192209136437,10.75,16.125,-16.125,SL
2019-07-16,2019,upper,2019-07-15 19:54:00-04:00,7994.358280096334,5.25,7.875,-0.0,BE
