locked_config,rr_convention,stop_after_loss_grouping,kept_after_first_session_loss_filter,resume_after_loss_rule,trade_id,entry_ts,exit_ts,session_id,calendar_date,week_key,month_key,year,side,level_type,direction,level,stop_pts,target_pts,pnl_pts,exit_reason,bucket,level_session_date,entry_bank_holiday,session_bank_holiday,level_bank_holiday,entry_market_holiday,session_market_holiday,level_market_holiday,event_types_entry_date,event_types_session_date,entry_red_date,session_red_date,red_pre_2h,red_post_2h,red_pre_session_to_event,red_post_event_to_11,entry_orange_date,session_orange_date,entry_mag7_date,session_mag7_date
FINAL_1R_TP_SL_CAP200,"FINAL 1R: TP=SL=min(1.5x previous completed 1h range, 200)",19:00 ET to next-day 15:00 ET futures session,True,no more trades until next 19:00 ET session,1,2020-01-03 05:56:00-05:00,2020-01-03 08:13:00-05:00,2020-01-03,2020-01-03,2020-W01,2020-01,2020,lower,lower,long,8743.715344071625,50.25,50.25,50.25,TP,london_0200_0930,2020-01-02,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False
FINAL_1R_TP_SL_CAP200,"FINAL 1R: TP=SL=min(1.5x previous completed 1h range, 200)",19:00 ET to next-day 15:00 ET futures session,True,no more trades until next 19:00 ET session,2,2020-01-06 21:23:00-05:00,2020-01-07 02:31:00-05:00,2020-01-07,2020-01-06,2020-W02,2020-01,2020,upper,upper,short,8881.00840595395,21.0,21.0,21.0,TP,evening_1900_0000,2020-01-03,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False
FINAL_1R_TP_SL_CAP200,"FINAL 1R: TP=SL=min(1.5x previous completed 1h range, 200)",19:00 ET to next-day 15:00 ET futures session,True,no more trades until next 19:00 ET session,3,2020-01-07 19:32:00-05:00,2020-01-08 06:28:00-05:00,2020-01-08,2020-01-07,2020-W02,2020-01,2020,lower,lower,long,8696.61659404605,180.375,180.375,180.375,TP,evening_1900_0000,2020-01-03,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False
FINAL_1R_TP_SL_CAP200,"FINAL 1R: TP=SL=min(1.5x previous completed 1h range, 200)",19:00 ET to next-day 15:00 ET futures session,True,no more trades until next 19:00 ET session,4,2020-01-17 04:51:00-05:00,2020-01-17 11:13:00-05:00,2020-01-17,2020-01-17,2020-W03,2020-01,2020,upper,upper,short,9163.275526241005,26.625,26.625,26.625,TP,london_0200_0930,2020-01-16,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False
FINAL_1R_TP_SL_CAP200,"FINAL 1R: TP=SL=min(1.5x previous completed 1h range, 200)",19:00 ET to next-day 15:00 ET futures session,True,no more trades until next 19:00 ET session,5,2020-01-20 21:35:00-05:00,2020-01-21 10:05:00-05:00,2020-01-21,2020-01-20,2020-W04,2020-01,2020,lower,lower,long,9121.972242453598,59.625,59.625,59.625,TP,evening_1900_0000,2020-01-20,True,False,True,True,False,True,,,False,False,False,False,False,False,False,False,False,False
FINAL_1R_TP_SL_CAP200,"FINAL 1R: TP=SL=min(1.5x previous completed 1h range, 200)",19:00 ET to next-day 15:00 ET futures session,True,no more trades until next 19:00 ET session,6,2020-01-21 21:51:00-05:00,2020-01-21 21:57:00-05:00,2020-01-22,2020-01-21,2020-W04,2020-01,2020,upper,upper,short,9212.777757546402,17.25,17.25,-17.25,SL,evening_1900_0000,2020-01-20,False,False,True,False,False,True,,,False,False,False,False,False,False,False,False,False,False
FINAL_1R_TP_SL_CAP200,"FINAL 1R: TP=SL=min(1.5x previous completed 1h range, 200)",19:00 ET to next-day 15:00 ET futures session,True,no more trades until next 19:00 ET session,7,2020-01-23 09:35:00-05:00,2020-01-23 09:58:00-05:00,2020-01-23,2020-01-23,2020-W04,2020-01,2020,lower,lower,long,9157.475099792831,26.625,26.625,26.625,TP,ny_0930_1100,2020-01-22,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False
FINAL_1R_TP_SL_CAP200,"FINAL 1R: TP=SL=min(1.5x previous completed 1h range, 200)",19:00 ET to next-day 15:00 ET futures session,True,no more trades until next 19:00 ET session,8,2020-01-24 03:07:00-05:00,2020-01-24 03:35:00-05:00,2020-01-24,2020-01-24,2020-W04,2020-01,2020,upper,upper,short,9274.55896358009,10.5,10.5,-10.5,SL,london_0200_0930,2020-01-23,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False
FINAL_1R_TP_SL_CAP200,"FINAL 1R: TP=SL=min(1.5x previous completed 1h range, 200)",19:00 ET to next-day 15:00 ET futures session,True,no more trades until next 19:00 ET session,9,2020-01-27 05:03:00-05:00,2020-01-27 15:00:00-05:00,2020-01-27,2020-01-27,2020-W05,2020-01,2020,lower,lower,long,8991.946156459002,72.0,72.0,-17.94615645900194,cutoff,london_0200_0930,2020-01-15,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False
FINAL_1R_TP_SL_CAP200,"FINAL 1R: TP=SL=min(1.5x previous completed 1h range, 200)",19:00 ET to next-day 15:00 ET futures session,True,no more trades until next 19:00 ET session,10,2020-01-28 10:25:00-05:00,2020-01-28 14:14:00-05:00,2020-01-28,2020-01-28,2020-W05,2020-01,2020,upper,upper,short,9053.02925865888,58.125,58.125,-58.125,SL,ny_0930_1100,2020-01-27,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False
FINAL_1R_TP_SL_CAP200,"FINAL 1R: TP=SL=min(1.5x previous completed 1h range, 200)",19:00 ET to next-day 15:00 ET futures session,True,no more trades until next 19:00 ET session,11,2020-01-30 02:06:00-05:00,2020-01-30 04:06:00-05:00,2020-01-30,2020-01-30,2020-W05,2020-01,2020,lower,lower,long,9012.488205660382,29.25,29.25,29.25,TP,london_0200_0930,2020-01-29,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False
FINAL_1R_TP_SL_CAP200,"FINAL 1R: TP=SL=min(1.5x previous completed 1h range, 200)",19:00 ET to next-day 15:00 ET futures session,True,no more trades until next 19:00 ET session,12,2020-02-04 03:23:00-05:00,2020-02-04 08:31:00-05:00,2020-02-04,2020-02-04,2020-W06,2020-02,2020,upper,upper,short,9218.804595713063,42.0,42.0,-42.0,SL,london_0200_0930,2020-02-03,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False
FINAL_1R_TP_SL_CAP200,"FINAL 1R: TP=SL=min(1.5x previous completed 1h range, 200)",19:00 ET to next-day 15:00 ET futures session,True,no more trades until next 19:00 ET session,13,2020-02-10 20:45:00-05:00,2020-02-11 15:00:00-05:00,2020-02-11,2020-02-10,2020-W07,2020-02,2020,upper,upper,short,9567.69569543655,48.75,48.75,31.69569543655052,cutoff,evening_1900_0000,2020-02-05,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False
FINAL_1R_TP_SL_CAP200,"FINAL 1R: TP=SL=min(1.5x previous completed 1h range, 200)",19:00 ET to next-day 15:00 ET futures session,True,no more trades until next 19:00 ET session,14,2020-02-13 22:02:00-05:00,2020-02-14 08:46:00-05:00,2020-02-14,2020-02-13,2020-W07,2020-02,2020,upper,upper,short,9650.077889608092,31.5,31.5,31.5,TP,evening_1900_0000,2020-02-13,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False
FINAL_1R_TP_SL_CAP200,"FINAL 1R: TP=SL=min(1.5x previous completed 1h range, 200)",19:00 ET to next-day 15:00 ET futures session,True,no more trades until next 19:00 ET session,15,2020-02-16 20:47:00-05:00,2020-02-17 12:59:00-05:00,2020-02-17,2020-02-16,2020-W07,2020-02,2020,upper,upper,short,9673.03187706804,19.875,19.875,6.531877068038739,cutoff,evening_1900_0000,2020-02-12,False,True,False,False,True,False,,,False,False,False,False,False,False,False,False,False,False
FINAL_1R_TP_SL_CAP200,"FINAL 1R: TP=SL=min(1.5x previous completed 1h range, 200)",19:00 ET to next-day 15:00 ET futures session,True,no more trades until next 19:00 ET session,16,2020-02-17 00:41:00-05:00,2020-02-17 01:19:00-05:00,2020-02-17,2020-02-17,2020-W08,2020-02,2020,upper,upper,short,9676.808177323495,6.375,6.375,-6.375,SL,overnight_0000_0200,2020-02-11,True,True,False,True,True,False,,,False,False,False,False,False,False,False,False,False,False
