date,event_type,label
2021-01-08,nfp,Employment Situation
2021-02-05,nfp,Employment Situation
2021-03-05,nfp,Employment Situation
2021-04-02,nfp,Employment Situation
2021-05-07,nfp,Employment Situation
2021-06-04,nfp,Employment Situation
2021-07-02,nfp,Employment Situation
2021-08-06,nfp,Employment Situation
2021-09-03,nfp,Employment Situation
2021-10-08,nfp,Employment Situation
2021-11-05,nfp,Employment Situation
2021-12-03,nfp,Employment Situation
2021-01-13,cpi,Consumer Price Index
2021-02-10,cpi,Consumer Price Index
2021-03-10,cpi,Consumer Price Index
2021-04-13,cpi,Consumer Price Index
2021-05-12,cpi,Consumer Price Index
2021-06-10,cpi,Consumer Price Index
2021-07-13,cpi,Consumer Price Index
2021-08-11,cpi,Consumer Price Index
2021-09-14,cpi,Consumer Price Index
2021-10-13,cpi,Consumer Price Index
2021-11-10,cpi,Consumer Price Index
2021-12-10,cpi,Consumer Price Index
2021-01-27,fomc,FOMC decision
2021-03-17,fomc,FOMC decision
2021-04-28,fomc,FOMC decision
2021-06-16,fomc,FOMC decision
2021-07-28,fomc,FOMC decision
2021-09-22,fomc,FOMC decision
2021-11-03,fomc,FOMC decision
2021-12-15,fomc,FOMC decision
